Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"ALDOUS HUXLEY (IRE)",2019,COLT,"John & Thady Gosden",T:101,T:x,A:x,-,-,-
"ALEEZDANCER (IRE)",2019,GELDING,"Kevin Ryan",T:92,T:81,T:93,T:93,A:84,T:90
"ALENQUER (FR)",2018,COLT,,T:112,A:115,T:115,T:110,T:108,T:100
"ALERTA ROJA (GB)",2018,FILLY,,T:87,T:107,T:82,T:79,T:76,T:x
"ALETHIOMETER (FR)",2019,FILLY,"Michael Dods",T:68,T:72,T:67,T:70,T:65,T:x
"ALETOILE (GB)",2018,FILLY,,T:52,T:54,T:47,T:43,A:38,T:36
"ALEXA'S PRINCESS (IRE)",2020,FILLY,"K. R. Burke",T:21,T:73,T:58,T:69,T:61,A:64
"ALEXANDER JAMES (IRE)",2016,GELDING,"Michael Appleby",A:80,A:88,A:82,A:85,T:63,A:88
"ALEXANDRA ROMANOV (IRE)",2017,FILLY,"Sheena West",H:104,H:x,H:x,H:x,N:x,N:x
"ALEZAN (GB)",2017,FILLY,,T:0,T:57,A:63,T:55,A:63,T:58
"ALFA DAWN (IRE)",2016,FILLY,"Peter Bowen",H:42,H:0,S:0,S:68,H:22,H:50
"ALFLAILA (GB)",2019,COLT,"Owen Burrows",T:115,T:109,T:109,T:109,T:96,T:109
"ALFRED BOUCHER (GB)",2016,GELDING,,T:0,T:104,T:102,T:96,T:94,T:70
"ALFRED COVE (GB)",2019,GELDING,"Tony Carroll",A:57,A:50,A:47,A:x,A:53,A:x
"ALGESIRAS (GB)",2016,GELDING,"Sue Smith",H:0,H:0,H:x,H:x,H:x,-
"ALGHAZAAL (GB)",2017,GELDING,"Charlie Longsdon",H:78,H:76,H:77,T:64,H:85,H:x
"ALGHEED (IRE)",2018,FILLY,"Mark Loughnane",A:80,A:77,A:75,A:72,A:73,A:71
"ALHABOR (GB)",2019,COLT,"Ruth Carr",T:32,T:x,T:x,T:x,-,-
"ALHAMMAAM (IRE)",2018,GELDING,,A:77,A:77,A:77,A:78,A:x,A:77
"ALI STAR BERT (GB)",2016,GELDING,"Shaun Harris",H:68,S:0,H:0,H:85,H:77,H:88
"ALIA CHOICE (GB)",2019,FILLY,,T:82,T:85,T:92,T:75,T:79,T:75
"ALICE KITTY (IRE)",2018,FILLY,"Matt Crawley",A:59,A:57,T:53,A:59,A:60,T:45
"ALICEFROMUMBRIDGE (GB)",2020,FILLY,"Rebecca Woodman",A:49,A:x,T:x,A:x,-,-
"ALIEN STORM (IRE)",2018,GELDING,"Charlie Longsdon",H:101,H:x,H:x,N:x,N:x,N:x
"ALIF POWER (IRE)",2020,COLT,"Roger Varian",T:81,T:x,A:x,T:x,-,-
"ALIGNAK (GB)",2016,COLT,,T:107,A:97,A:93,T:48,T:101,T:110
"ALIOMAANA (GB)",2018,FILLY,"Milton Harris",H:99,H:108,H:94,T:59,H:104,H:102
"ALIOSKI (GB)",2017,GELDING,"Gary Brown",H:97,H:87,A:49,H:97,A:39,A:44
