Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
AL MUBHIR (GB),2019,COLT,FRANKEL (GB),MUFFRI'HA (IRE),William Haggas,97,,,,,,,,,,,
AL MUFFRIH (IRE),2015,GELDING,SEA THE STARS (IRE),SCARLET AND GOLD (IRE),D. J. Jeffreys,,,,,,,,,,94,,
AL NAFIR (IRE),2019,COLT,DUBAWI (IRE),NIGHTIME (IRE),Charlie Appleby,100,,,,,,,,,,,
AL QAASIM (IRE),2017,GELDING,FREE EAGLE (IRE),NEBRAAS (GB),,70,,,,,,,,,,,
AL QAREEM (IRE),2019,GELDING,AWTAAD (IRE),MOQLA (GB),K. R. Burke,112,,,,,,,,,,,
AL ROC (FR),2011,GELDING,GREAT PRETENDER (IRE),AL COV (FR),,,,,,,,108,,,,,
AL RUFAA (FR),2017,GELDING,KINGMAN (GB),CLARMINA (IRE),Charlie Fellowes,95,,,,,,,,,,,
AL SHIBLI (GB),2019,GELDING,SHAMARDAL (USA),RAYAHEEN (GB),,85,,,,,,,,,,,
AL SIMMO (GB),2017,FILLY,AL KAZEEM (GB),MAGIC DESTINY (GB),Steph Hollinshead,88,,,,,,,,,,,
AL SUIL EILE (FR),2016,GELDING,ALHEBAYEB (IRE),VISUAL ELEMENT (USA),Shaun Harris,59,,,,,,,,,,,
AL TARMAAH (IRE),2017,GELDING,MUHAARAR (GB),HOW'S SHE CUTTIN' (IRE),Lee Carter,46,new,,,,,,,,,,
AL ZARAQAAN (GB),2017,GELDING,GOLDEN HORN (GB),ASHEERAH (GB),Archie Watson,87,,,102,,,,,,123,-2,
ALAFDHAL (IRE),2018,GELDING,LOPE DE VEGA (IRE),AFDHAAD (GB),Phil McEntee,79,-1,,,,,,,,,,
ALAINN TU (IRE),2020,FILLY,GREGORIAN (IRE),DEBUTANTE'S BALL (IRE),J. S. Moore,50,,,,,,,,,,,
ALASKAN (IRE),2020,GELDING,KODIAC (GB),FIXED GAZE (USA),Charles Hills,47,+5,,,,,,,,,,
ALASKAN JEWEL (IRE),2019,FILLY,KODIAC (GB),DUTCH DESTINY (GB),John Flint,66,,,,,,,,,,,
ALASKAN WIND (IRE),2019,FILLY,KODIAC (GB),PARASAIL (GB),,47,,,,,,,,,,,
ALAZWAR (IRE),2018,GELDING,AWTAAD (IRE),VENETIAN BEAUTY (USA),Archie Watson,85,,,,,,,,,,,
