Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
ALBA DE TORMES (IRE),2018,GELDING,LOPE DE VEGA (IRE),DANASKAYA (IRE),,46,,,,,,,,,,,
ALBA DEL SOLE (IRE),2015,FILLY,DANDY MAN (IRE),WINTERWELL (USA),,49,,,42,,,,,,,,
ALBA LONGA (GB),2020,FILLY,MUHAARAR (GB),ALLA SPERANZA (GB),Ralph Beckett,75,,,,,,,,,,,
ALBAFLORA (GB),2017,FILLY,MUHAARAR (GB),ALMIRANTA (GB),,105,,,,,,,,,,,
ALBAHR (GB),2019,GELDING,DUBAWI (IRE),FALLS OF LORA (IRE),Charlie Appleby,109,,,,,,,,,,,
ALBEGONE (GB),2018,GELDING,ALHEBAYEB (IRE),PACNGO (GB),Tim Easterby,63,,,,,,,,,,,
ALBEGREY (GB),2019,GELDING,ALHEBAYEB (IRE),MAYBEAGREY (GB),Tim Easterby,67,,,,,,,,,,,
ALBERIC (FR),2017,GELDING,POLIGLOTE (GB),KHAYANCE (FR),Philip Hobbs,,,,,,,95,,,,,
ALBERT CEE (FR),2020,GELDING,ACLAIM (IRE),ALZAHRA (GB),Peter Chapple-Hyam,65,,,,,,,,,,,
ALBERT VAN ORNUM (FR),2017,GELDING,AUTHORIZED (IRE),DIENA (FR),Paddy Butler,,,,,,,87,,,87,,
ALBERT'S BACK (GB),2014,GELDING,CHAMPS ELYSEES (GB),NEATH (GB),Michael & David Easterby,,,,,,,,,,129,,
ALBESEEINGYER (GB),2019,FILLY,AL KAZEEM (GB),MAGIC DESTINY (GB),Steph Hollinshead,58,,,,,,,,,,,
ALBION PRINCESS (GB),2019,FILLY,KINGMAN (GB),LANGLAUF (USA),Harry & Roger Charlton,69,,,,,,,,,,,
ALBUS ANNE (GB),2019,FILLY,MAYSON (GB),ASMAHAN (GB),Jimmy Fox,53,,,,,,,,,,,
ALCAZAN (GB),2018,FILLY,AL KAZEEM (GB),GLORIOUS DREAMS (USA),Roger Teal,71,,,,,,,,,,,
ALCHEMIST'S DREAM (GB),2019,FILLY,LAWMAN (FR),ROYAL ALCHEMIST (GB),Mark Usher,54,,,,,,,,,,,
ALCHEMYSTIQUE (IRE),2017,FILLY,AUTHORIZED (IRE),NICE TO KNOW (FR),Steph Hollinshead,56,,,,,,,,,102,,
ALCOHOL FREE (IRE),2018,FILLY,NO NAY NEVER (USA),PLYING (USA),,119,,,,,,,,,,,
ALDAARY (GB),2018,GELDING,TERRITORIES (IRE),BROUGHTONS REVIVAL (GB),William Haggas,116,,,,,,,,,,,
ALDABRA (GB),2019,FILLY,BOBBY'S KITTEN (USA),ALTITUDE (GB),,55,,,,,,,,,,,
ALDBOURNE (IRE),2019,GELDING,AWTAAD (IRE),ALWAYS GENTLE (IRE),Harry Eustace,71,,,,,,,,,,,
ALDHAJA (USA),2019,COLT,WAR FRONT (USA),AQSAAM (USA),,79,,,,,,,,,,,
ALDOUS HUXLEY (IRE),2019,COLT,DUBAWI (IRE),ALBASHARAH (USA),John & Thady Gosden,101,,,,,,,,,,,
ALDSWORTH (GB),2018,GELDING,PETHER'S MOON (IRE),HANDMAID (GB),Alan King,,,,,,,,,,94,new,
ALEEZDANCER (IRE),2019,GELDING,FAST COMPANY (IRE),CLIFTON DANCER (GB),Kevin Ryan,93,,,,,,,,,,,
ALENQUER (FR),2018,COLT,ADLERFLUG (GER),WILD BLOSSOM (GER),,118,,,,,,,,,,,
ALERTA ROJA (GB),2018,FILLY,GOLDEN HORN (GB),ALBARAKA (GB),,100,,,,,,,,,,,
ALETHIOMETER (FR),2019,FILLY,ACLAIM (IRE),LIVE LOVE LAUGH (FR),Michael Dods,72,,,,,,,,,,,
ALETOILE (GB),2018,FILLY,SEA THE STARS (IRE),ALAMODE (GB),,54,,,,,,,,,,,
ALEXA'S PRINCESS (IRE),2020,FILLY,DANDY MAN (IRE),BORN TO SPEND (IRE),K. R. Burke,72,,,,,,,,,,,
ALEXANDER JAMES (IRE),2016,GELDING,CAMELOT (GB),PLYING (USA),Michael Appleby,87,,,,,,,,,,,
ALEXANDRA ROMANOV (IRE),2017,FILLY,SIXTIES ICON (GB),RUSSIAN EMPRESS (IRE),Sheena West,,,,,,,,,,103,-1,
ALEZAN (GB),2017,FILLY,DAWN APPROACH (IRE),SARINDA (GB),,61,,,,,,,,,,,
ALFA DAWN (IRE),2016,FILLY,NO NAY NEVER (USA),AITCH (IRE),Peter Bowen,,,,,,,,,,71,,
ALFLAILA (GB),2019,COLT,DARK ANGEL (IRE),ADHWAA (GB),Owen Burrows,116,,,,,,,,,,,
ALFRED BOUCHER (GB),2016,GELDING,AUSSIE RULES (USA),POLICY TERM (IRE),,104,,,,,,,,,,,
ALFRED COVE (GB),2019,GELDING,ARDAD (IRE),CARDS (GB),Tony Carroll,57,,,,,,,,,,,
ALGESIRAS (GB),2016,GELDING,MARTALINE (GB),MESSAGE PERSONNEL (FR),Sue Smith,,,,,,,,,,96,,
ALGHAZAAL (GB),2017,GELDING,TEOFILO (IRE),TANFIDH (GB),Charlie Longsdon,72,,,,,,,,,85,,
ALGHEED (IRE),2018,FILLY,DARK ANGEL (IRE),RATHAATH (IRE),Mark Loughnane,82,,,,,,,,,,,
ALHABOR (GB),2019,COLT,INTELLO (GER),ETERNALLY (GB),Ruth Carr,67,,,,,,,,,,,
ALHAMMAAM (IRE),2018,GELDING,LOPE DE VEGA (IRE),JADHWAH (GB),,77,,,,,,,,,,,
ALI STAR BERT (GB),2016,GELDING,PHOENIX REACH (IRE),CLUMBER PURSUITS (GB),Shaun Harris,,,,,,,80,,,80,,
ALIA CHOICE (GB),2019,FILLY,DARK ANGEL (IRE),QUEEN KINDLY (GB),,91,,,,,,,,,,,
ALICE KITTY (IRE),2018,FILLY,BOBBY'S KITTEN (USA),CLASSIC LEGEND (GB),Matt Crawley,59,,,,,,,,,,,
ALICEFROMUMBRIDGE (GB),2020,FILLY,MASTER CARPENTER (IRE),INDIAN FLASH (GB),Rebecca Woodman,49,,,,,,,,,,,
ALIEN STORM (IRE),2018,GELDING,GETAWAY (GER),MISSUSAN (IRE),Charlie Longsdon,,,,,,,,,,123,,
ALIF POWER (IRE),2020,COLT,EL KABEIR (USA),EXTRICATE (IRE),Roger Varian,81,,,,,,,,,,,
ALIGNAK (GB),2016,COLT,SEA THE MOON (GER),ALBANOVA (GB),,109,,,,,,,,,,,
ALIOMAANA (GB),2018,FILLY,RAVEN'S PASS (USA),TAQDEES (IRE),Milton Harris,70,,,,,,,,,108,,
ALIOSKI (GB),2017,GELDING,KODIAC (GB),LULUTI (IRE),Gary Brown,49,,,,,,,,,97,,
ALJARI (GB),2016,GELDING,QUALITY ROAD (USA),RHAGORI (GB),Tom Clover,75,,,,,,,,,,,
ALJASRA UNITED (FR),2018,GELDING,OLYMPIC GLORY (IRE),LA SEINE (USA),,41,,,,,,,,,,,
ALKHATTAAF (GB),2018,GELDING,MUKHADRAM (GB),REWAAYA (IRE),Chris Down,52,,,,,,,,,,,
ALKOPOP (GER),2014,GELDING,JUKEBOX JURY (IRE),ALKESTE (GER),Toby Lawes,,,,,,,115,,,110,,
ALL ABOARD (IRE),2019,GELDING,ANJAAL (GB),DIALING TONE (USA),Michael Appleby,42,-2,,,,,,,,,,
ALL ABOUT ALICE (IRE),2019,FILLY,EXCELEBRATION (IRE),CASTALIAN SPRING (IRE),Martin Smith,47,,,,,,,,,,,
ALL ABOUT JOE (IRE),2015,GELDING,OSCAR (IRE),SUNNY NATIVE (IRE),Andrew Hamilton,,,,,,,132,,,,,
ALL ABOUT ME (GB),2019,FILLY,POUR MOI (IRE),ZELDINA (GB),Seamus Mullins,,,,,,,,,,69,,
ALL ARE MINE (GER),2019,GELDING,NEW BAY (GB),ARDEOLA (GER),,81,,,,,,,,,,,
ALL DANCER (FR),2017,GELDING,NO RISK AT ALL (FR),MAIA DANCER (FR),Paul Nicholls,,,,,,,105,,,,,
ALL DOWN TO ROSIE (IRE),2018,FILLY,DANDY MAN (IRE),WELSH DIVA (GB),Adrian Keatley,36,,,,,,,,,,,
ALL DUE RESPECT (IRE),2020,FILLY,CARAVAGGIO (USA),GREY SKY BLUE (IRE),,63,,,,,,,,,,,
ALL DUNN (GB),2020,GELDING,OASIS DREAM (GB),BIMBO (GB),Jamie Osborne,54,+3,,,,,,,,,,
ALL GO (GB),2019,FILLY,BOBBY'S KITTEN (USA),ALBORETTA (GB),,65,,,,,,,,,,,
ALL IN THE HIPS (IRE),2020,FILLY,IVAWOOD (IRE),RASEEL (GB),David Evans,66,,,,,,,,,,,
ALL THE KING'S MEN (FR),2018,GELDING,KINGMAN (GB),GOOSELEY CHOPE (FR),George Boughey,87,,,,,,,,,,,
ALL THE TIME (IRE),2020,FILLY,KODIAC (GB),MISTIME (IRE),,95,,,,,,,,,,,
ALL THINGS BRIGHT (IRE),2018,FILLY,ACCLAMATION (GB),AVENUE MONTAIGNE (IRE),,52,,,,,,,,,,,
ALL YOURS (FR),2011,GELDING,HALLING (USA),FONTAINE RIANT (FR),,69,,,,,,,,,,,
ALLARDYCE (GB),2012,GELDING,BLACK SAM BELLAMY (IRE),WOORE LASS (IRE),Paul Henderson,,,,,,,75,-2,,,,
ALLAVINA (IRE),2015,FILLY,GETAWAY (GER),ONE COOL KATE (IRE),Clive Boultbee-Brooks,,,,,,,,,,119,,
ALLAYAALI (IRE),2019,FILLY,DARK ANGEL (IRE),FARADAY LIGHT (IRE),,95,,,,,,,,,,,
ALLBETSOFF (IRE),2016,GELDING,CARLOTAMIX (FR),LONGER LASHES (IRE),Mark Walford,,,,,,,,,,103,,
ALLEMANDE (GB),2019,FILLY,SEA THE MOON (GER),ALMIRANTA (GB),,70,,,,,,,,,,,
ALLIGATOR ALLEY (GB),2017,GELDING,KINGMAN (GB),OVERTURNED (GB),David O'Meara,106,,,,,,,,,,,
ALLMANKIND (GB),2016,GELDING,SEA THE MOON (GER),WEMYSS BAY (GB),,83,,,,,,144,,,,,
ALLO ALLO (GB),2016,GELDING,MILAN (GB),RAVELLO BAY (GB),Stuart Edmunds,,,,,,,109,,,109,,
ALLO ARRY (IRE),2019,GELDING,ES QUE LOVE (IRE),VITAL BODY (FR),,70,,,,,,,,,,,
ALLSET (IRE),2018,GELDING,ANODIN (IRE),NOT READY (USA),,60,,,,,,71,,,,,
ALMAAN (USA),2018,GELDING,SPEIGHTSTOWN (USA),ROSALIND (USA),,73,,,,,,,,,,,
ALMARIN (IRE),2020,GELDING,BELARDO (IRE),PRINCESS SEVERUS (IRE),Patrick Owens,80,,,,,,,,,,,
ALMAZHAR GARDE (FR),2015,GELDING,KAPGARDE (FR),LOIN DE MOI (FR),Charlie Longsdon,,,,,,,125,-2,,,,
ALMINAR (IRE),2013,GELDING,ARAKAN (USA),CLASSIC MAGIC (IRE),Evan Williams,,,,,,,112,-1,,,,
ALMODOVAR DEL RIO (IRE),2019,COLT,DABIRSIM (FR),EVERGLOW (FR),Marco Botti,64,,,,,,,,,,,
ALMOHANDESAH (GB),2019,FILLY,POSTPONED (IRE),CHOCOLATE HILLS (FR),,97,,,,,,,,,,,
ALMOST GOLD (IRE),2013,GELDING,GOLD WELL (GB),SHINING LIGHTS (IRE),Ian Williams,,,,,,,90,,,,,
ALMOST GOTAWAY (IRE),2017,GELDING,GETAWAY (GER),ISLES OF ICANE (IRE),Nicky Martin,,,,,,,,,,94,,
ALMOST YOU (FR),2015,FILLY,YOUMZAIN (IRE),ALMOHADES (FR),,57,,,,,,,,,,,
ALMUFEED (IRE),2017,GELDING,MUKHADRAM (GB),ANQOODA (USA),Sean Curran,78,,,,,,,,,,,
ALNADAM (FR),2013,GELDING,POLIGLOTE (GB),ROSADAME (FR),Dan Skelton,,,,,,,127,+1,,121,+1,
ALNILAM (FR),2019,GELDING,SEA THE STARS (IRE),AWARENESS (USA),,72,,,,,,,,,,,
ALNWICK CASTLE (GB),2019,FILLY,SIR PERCY (GB),IRON BUTTERFLY (GB),Harry Eustace,48,-3,,,,,,,,,,
ALODIA (GB),2020,FILLY,SAXON WARRIOR (JPN),ATONE (GB),Sylvester Kirk,50,,,,,,,,,,,
ALONE NO MORE (IRE),2012,GELDING,GOLD WELL (GB),CHERRY IN A HURRY (IRE),Jackie Stephen,,,,,,,82,,,,,
ALONG LONG STORY (IRE),2016,GELDING,MOROZOV (USA),BLUEBELL WEDDING (GB),Micky Hammond,,,,,,,103,,,,,
ALOOQAAL (IRE),2019,COLT,ZOFFANY (IRE),NATURAL BLOOM (IRE),,71,,,78,,,,,,,,
ALOTAIBI (IRE),2019,COLT,ACCLAMATION (GB),LADY OF THE LAMP (IRE),,86,,,,,,,,,,,
ALOUNAK (FR),2015,GELDING,CAMELOT (GB),AWE STRUCK (GB),,103,,,,,,,,,,,
ALPHA CAPTURE (IRE),2020,GELDING,COTAI GLORY (GB),YORK EXPRESS (GB),William Haggas,103,,,,,,,,,,,
ALPHA CRUCIS (IRE),2020,COLT,AUSTRALIA (GB),NIGHT FAIRY (IRE),Gary Moore,72,,,,,,,,,,,
ALPHA KING (GB),2018,GELDING,KINGMAN (GB),KILO ALPHA (GB),P. Charalambous & J. Clutterbuck,64,,,,,,,,,,,
ALPINE GIRL (IRE),2020,FILLY,ACCLAMATION (GB),ALMOND BROOK (GB),James Fanshawe,64,,,,,,,,,,,
ALPINE SIERRA (IRE),2018,GELDING,DISTORTED HUMOR (USA),UNACCOMPANIED (IRE),Keith Dalgleish,67,,,,,,,,,,,
ALPINE STROLL (GB),2018,GELDING,NATHANIEL (IRE),KAMMAAN (GB),Ed de Giles,77,,,,,,,,,,,
ALPINISTA (GB),2017,FILLY,FRANKEL (GB),ALWILDA (GB),,123,,,,,,,,,,,
ALQAMAR (GB),2014,GELDING,DUBAWI (IRE),MOONSAIL (GB),James Moffatt,,,,,,,,,,120,,
ALRAMZ (GB),2016,GELDING,INTELLO (GER),REWAAYA (IRE),Susan Gardner,46,,,,,,,,,83,,
ALREADY GONE (IRE),2019,GELDING,ZOFFANY (IRE),WHATELSEABOUTYOU (IRE),,64,,,,,,,,,,,
ALREHB (USA),2017,GELDING,WAR FRONT (USA),TAHRIR (IRE),Kevin Philippart de Foy,95,,,,,,,,,,,
ALRIGHT CHIEF (IRE),2012,GELDING,DAYLAMI (IRE),LEE VALLEY NATIVE (IRE),Sam Allwood,,,,,,,85,,,,,
ALRIGHT SUNSHINE (IRE),2015,GELDING,CASAMENTO (IRE),MISS GIBRALTAR (GB),Keith Dalgleish,101,,,,,,,,,,,
ALSAMYAH (GB),2019,FILLY,FARHH (GB),CHASING RUBIES (IRE),,44,,,,,,,,,,,
ALSEEYERTHERE (GB),2018,FILLY,AL KAZEEM (GB),MAGIC DESTINY (GB),Steph Hollinshead,56,,,,,,,,,,,
ALSITHEE (GB),2018,GELDING,SUMMER FRONT (USA),SECRET DREAM (IRE),,61,,,,,,,,,,,
ALSO KNOWN AS (IRE),2018,GELDING,PRESENTING (GB),JAY LO (IRE),Jonjo O'Neill,,,,,,,,,,94,,
ALTERNATIVA (GB),2019,FILLY,INVINCIBLE SPIRIT (IRE),ALYSSA (GB),Ralph Beckett,73,,,,,,,,,,,
ALTERNATIVE FACT (GB),2015,GELDING,DALAKHANI (IRE),O FOURLUNDA (GB),,76,,,,,,,,,,,
ALTO ALTO (FR),2017,GELDING,FALCO (USA),BEAUTYFUL (IRE),Chris Gordon,,,,,,,112,,,112,,
ALTO VOLANTE (GB),2018,GELDING,KINGMAN (GB),DISCO VOLANTE (GB),,66,,,,,,,,,,,
ALUMNUS (GB),2020,COLT,KENDARGENT (FR),ALMA MATER (GB),Charlie Johnston,75,,,,,,,,,,,
ALVEDISTON (IRE),2019,GELDING,NEW BAY (GB),EBBESBOURNE (IRE),,59,,,,,,,,,,,
ALVESCOT (GB),2020,FILLY,AL KAZEEM (GB),AVESSIA (GB),,53,,,,,,,,,,,
ALWAJD (IRE),2019,FILLY,DARK ANGEL (IRE),RELATION ALEXANDER (IRE),Ian Williams,64,,,,,,,,,,,
ALWAYS BUSY (IRE),2018,GELDING,WESTERNER (GB),DAVIDS JEWEL (IRE),Christian Williams,,,,,,,,,,116,new,
ALWAYS FEARLESS (IRE),2017,GELDING,CAMACHO (GB),ZENELLA (GB),Richard Hannon,62,,,,,,,,,,,
ALYA'S GOLD AWARD (IRE),2019,FILLY,STARSPANGLEDBANNER (AUS),QUINTA VERDE (IRE),Robert Stephens,44,,,,,,,,,,,
ALYARA (GB),2018,FILLY,CABLE BAY (IRE),NORWAY CROSS (GB),John Flint,66,,,,,,,,,,,
ALZAHIR (FR),2020,COLT,SEA THE STARS (IRE),CUP CAKE (IRE),John & Thady Gosden,88,,,,,,,,,,,
AMADEUS GREY (IRE),2016,GELDING,ZEBEDEE (GB),BENEDICTE (IRE),,73,,,,,,,,,,,
AMADORIO (FR),2015,GELDING,AUTHORIZED (IRE),CAROLLES (FR),Fergal O'Brien,,,,,,,,,,102,,
AMAL (IRE),2018,FILLY,NO NAY NEVER (USA),LUNDY ISLAND (GB),J. R. Jenkins,42,,,,,,,,,,,
AMALFI BAY (GB),2018,GELDING,LOPE DE VEGA (IRE),AFFINITY (GB),Anthony Honeyball,72,,,,,,,,,,,
AMALFI GEM (IRE),2019,FILLY,COTAI GLORY (GB),DIAMOND CIRCLE (GB),Pat Murphy,50,,,,,,,,,,,
AMALFI SALSA (IRE),2018,FILLY,MASTERCRAFTSMAN (IRE),LEMON ROCK (GB),,51,,,,,,,,,,,
AMANDA HUG'N'KISS (GB),2019,FILLY,DABIRSIM (FR),PERCOLATOR (GB),,65,,,,,,,,,,,
AMANI (GB),2018,FILLY,ADAAY (IRE),MISS WELLS (IRE),Mark Weatherer,27,,,,,,,,,,,
AMANZOE (IRE),2019,FILLY,FASTNET ROCK (AUS),STARSHIP (IRE),William Haggas,98,,,,,,,,,,,
AMARETTI VIRGINIA (IRE),2020,FILLY,MEHMAS (IRE),SOFT POWER (IRE),Richard Hannon,69,,,,,,,,,,,
AMARILLO GOLD (GB),2020,GELDING,SHALAA (IRE),LOVE AND CHERISH (IRE),,54,,,,,,,,,,,
AMARILLO SKY (IRE),2016,GELDING,WESTERNER (GB),BAG OF TRICKS (IRE),Joe Tizzard,,,,,,,155,,,,,
AMASOVA (GB),2018,FILLY,PIVOTAL (GB),RUSSIAN HEROINE (GB),,53,,,,,,,,,,,
AMATEUR (IRE),2013,GELDING,GIANT'S CAUSEWAY (USA),ADJA (IRE),John Flint,,,,,,,123,-2,,,,
AMATHUS (IRE),2017,GELDING,ANJAAL (GB),EFFIGE (IRE),Patrick Chamings,64,,,56,,,,,,,,
AMAYSMONT (GB),2017,GELDING,MAYSON (GB),MONTJEN (IRE),Kevin Frost,74,,,,,,,,,,,
AMAZING ALBA (GB),2016,FILLY,HELMET (AUS),SILCASUE (GB),Ewan Whillans,43,,,,,,,,,,,
AMAZING AMAYA (GB),2015,FILLY,NEW APPROACH (IRE),FASLEN (USA),Derek Shaw,45,-1,,,,,,,,,,
AMAZING ARTHUR (GB),2020,GELDING,SHOWCASING (GB),MAJESTIC SONG (GB),Tim Easterby,46,,,,,,,,,,,
AMAZING MOLLIE (GB),2019,FILLY,BRAZEN BEAU (AUS),AVONROSE (GB),John Mackie,46,,,,,,,,,,,
AMAZING RED (IRE),2013,GELDING,TEOFILO (IRE),ARTISIA (IRE),,67,,,,,,,,,,,
AMAZONIAN DREAM (IRE),2019,GELDING,BUNGLE INTHEJUNGLE (GB),GRANDMAS DREAM (GB),Rod Millman,83,,,,,,,,,,,
AMBASSADOR (IRE),2017,GELDING,INVINCIBLE SPIRIT (IRE),NATURAL BLOOM (IRE),Martin Keighley,55,,,,,,,,,100,-5,
AMBER DEW (GB),2019,FILLY,SHOWCASING (GB),ROXY STAR (IRE),Scott Dixon,70,-3,,,,,,,,,,
AMBER GOLD (GB),2017,FILLY,IKTIBAS (GB),NATIVUS (IRE),Mark Walford,,,,,,,,,,88,,
AMBER ISLAND (IRE),2017,FILLY,EXCEED AND EXCEL (AUS),RAPHINAE (GB),David Loughnane,91,,,,,,,,,,,
AMBER RUN (IRE),2015,GELDING,ARCADIO (GER),DORCET'SLAST STAND (IRE),Micky Hammond,,,,,,,64,,,,,
AMBION HILL (IRE),2015,GELDING,GETAWAY (GER),VERTALITY (IRE),Joe Tizzard,,,,,,,92,,,,,
AMELIA R (IRE),2016,FILLY,ZOFFANY (IRE),XALOC (IRE),Ray Craggs,54,,,,,,,,,,,
AMELIA'S DANCE (IRE),2015,FILLY,FLEMENSFIRTH (USA),MADAME MCGOLDRICK (IRE),Robert Walford,,,,,,,,,,116,,
AMENON (FR),2015,GELDING,SAINT DES SAINTS (FR),LA COUETRIE (FR),Paul Nicholls,,,,,,,111,-4,,,,
AMERICAN BELLE (IRE),2020,FILLY,STARSPANGLEDBANNER (AUS),SYNDICATE (GB),James Fanshawe,76,,,,,,,,,,,
AMERICAN FLAG (IRE),2019,GELDING,SEA THE STARS (IRE),SEQUESTER (GB),,81,,,,,,,,,,,
AMERICAN GERRY (IRE),2016,GELDING,AMERICAIN (USA),HURRICANE SOCIETY (IRE),Hughie Morrison,,,,,,,,,,117,,
AMERICAN KESTREL (IRE),2019,FILLY,STARSPANGLEDBANNER (AUS),MARSH HAWK (GB),,92,,,,,,,,,,,
AMERICAN LEGACY (GB),2016,GELDING,SHIROCCO (GER),KARINGAS LEGACY (GB),,,,,,,,,,,100,,
AMERICAN ROSE (GB),2020,FILLY,WASHINGTON DC (IRE),MORTITIA (GB),James Evans,61,-1,collateral,,,,,,,,,
AMERICAN SNIPER (IRE),2018,GELDING,MALINAS (GER),MOUNTAIN LEAP (IRE),David Pipe,,,,,,,,,,127,-1,
AMERICAN STAR (IRE),2019,GELDING,STARSPANGLEDBANNER (AUS),SIGNORA VALENTINA (IRE),Ed Walker,88,-2,,,,,,,,,,
AMERIGHI (IRE),2019,GELDING,CARAVAGGIO (USA),SMALL SACRIFICE (IRE),Michael Attwater,50,,,,,,,,,,,
AMEYNAH (IRE),2019,FILLY,EXCEED AND EXCEL (AUS),TAZFFIN (IRE),Roger Varian,107,,,,,,,,,,,
AMI DES FLOTS (IRE),2017,FILLY,NOTNOWCATO (GB),PALM SUR (IRE),,,,,,,,,,,101,,
AMICHI (IRE),2020,GELDING,GUTAIFAN (IRE),SHIMMY SHOES (IRE),,93,,,,,,,,,,,
AMJAD (GB),2019,GELDING,DECORATED KNIGHT (GB),SHADEN (IRE),,52,,,,,,,,,,,
AMLOVI (IRE),2013,FILLY,COURT CAVE (IRE),PORTANOB (IRE),Adrian Wintle,,,,,,,,,,71,,
AMMOLITE (IRE),2019,FILLY,PROFITABLE (IRE),ROMIE'S KASTETT (GER),,80,,,,,,,,,,,
AMNAA (GB),2017,FILLY,BUNGLE INTHEJUNGLE (GB),SHE MYSTIFIES (GB),,44,,,,,,,,,,,
AMOOLA GOLD (GER),2013,GELDING,MAMOOL (IRE),AUGHAMORE BEAUTY (IRE),Dan Skelton,,,,,,,132,,,127,,
AMOR DE MI VIDA (FR),2018,FILLY,DABIRSIM (FR),TROIECAT (FR),Archie Watson,74,,,66,,,,,,,,
AMOR VINCIT OMNIA (IRE),2019,GELDING,CARAVAGGIO (USA),DRESS REHEARSAL (IRE),Harry Eustace,85,,,,,,,,,,,
AMOURIE (GB),2016,FILLY,HAAFHD (GB),TOUR D'AMOUR (IRE),Ray Craggs,53,-1,,,,,,,,,,
AMPLE POWER (FR),2019,GELDING,NEW BAY (GB),OLMA (SAF),,47,,,,,,,,,,,
AMRONS SAGE (IRE),2017,GELDING,SAGEBURG (IRE),VINCENTA (IRE),Nicky Henderson,,,,,,,,,,115,,
AMSBY (GB),2017,GELDING,SIR PERCY (GB),ASTRODIVA (GB),,54,,,,,,,,,,,
AMTIYAZ (GB),2017,COLT,FRANKEL (GB),ROSE OF MIRACLES (GB),,98,,,,,,,,,,,
AMZAAN (IRE),2019,FILLY,DUBAWI (IRE),MEEZNAH (USA),,62,,,,,,,,,,,
AN ANGEL'S DREAM (FR),2019,FILLY,DREAM AHEAD (USA),SANDY'S CHARM (FR),Stella Barclay,48,,,,,,,,,,,
AN MARCACH (IRE),2014,GELDING,MILAN (GB),RED SQUARE LADY (IRE),Dr Richard Newland,,,,,,,85,-2,,,,
AN TAILLIUR (FR),2016,GELDING,AUTHORIZED (IRE),DIRAMA (FR),Jonjo O'Neill,,,,,,,,,,139,,
ANA GOLD (GB),2019,FILLY,HAVANA GOLD (IRE),YENSI (GB),K. R. Burke,76,,,,,,,,,,,
ANA HADI (IRE),2020,COLT,EQUIANO (FR),BAHAMA SPIRIT (IRE),,65,,,,,,,,,,,
ANADORA (GB),2019,FILLY,HAVANA GOLD (IRE),KELADORA (USA),,85,,,,,,,,,,,
ANATOMIC (GB),2019,GELDING,ULYSSES (IRE),DIAGNOSTIC (GB),,77,,,,,,,,,,,
ANCESTRAL LAND (GB),2020,COLT,SIOUX NATION (USA),SWING OUT SISTER (IRE),Clive Cox,101,,,,,,,,,,,
ANCIENT CAPITAL (GB),2019,GELDING,FRANKEL (GB),SPIRIT OF XIAN (IRE),Robert Stephens,63,,,,,,,,,,,
ANCIENT TIMES (GB),2018,GELDING,EXCEED AND EXCEL (AUS),ORIENTAL STEP (IRE),Harry Eustace,92,,,,,,,,,,,
AND THE NEW (IRE),2011,GELDING,KALANISI (IRE),WHEREDIDTHEMONEYGO (IRE),L J Morgan,,,,,,,119,-5,,,,
ANDALEEP (IRE),2016,GELDING,SIYOUNI (FR),ORIENTAL MAGIC (GER),Daniel & Claire Kubler,86,,,,,,,,,,,
ANDAPA (FR),2014,FILLY,KAPGARDE (FR),DANIETY (FR),Michael Roberts,,,,,,,,,,83,,
ANDRE AMAR (IRE),2016,GELDING,DANDY MAN (IRE),HEAVEN'S VAULT (IRE),Robyn Brisland,51,,,,,,,,,,,
ANDRE LE NOTRE (GB),2017,GELDING,CHAMPS ELYSEES (GB),AUDAZ (GB),Pauline Robson,,,,,,,67,-1,,67,-1,
ANGE DE L'AMOUR (GB),2020,FILLY,HARRY ANGEL (IRE),OCELOT (GB),Robyn Brisland,71,,,,,,,,,,,
ANGE ENDORMI (IRE),2016,GELDING,LEADING LIGHT (IRE),MAXFORD LADY (IRE),Lizzie Quinlan,,,,,,,,,,97,,
ANGEL AMADEA (GB),2018,FILLY,DARK ANGEL (IRE),KEENE DANCER (GB),Rebecca Menzies,65,,,,,,,,,,,
ANGEL BLEU (FR),2019,COLT,DARK ANGEL (IRE),CERCLE DE LA VIE (IRE),Ralph Beckett,113,,,,,,,,,,,
ANGEL DE LUZ (IRE),2020,FILLY,CAMACHO (GB),ANGEL GRACE (IRE),George Boughey,37,,,,,,,,,,,
ANGEL OF ANTRIM (IRE),2020,COLT,DARK ANGEL (IRE),TODEGICA (GB),Ali Stronge,60,,,,,,,,,,,
ANGEL ON HIGH (IRE),2017,GELDING,DARK ANGEL (IRE),ANGEL OF THE GWAUN (IRE),Adrian Wintle,65,,,70,,,,,,,,
ANGEL POWER (GB),2017,FILLY,LOPE DE VEGA (IRE),BURNING RULES (IRE),,92,,,,,,,,,,,
ANGEL TIME (IRE),2020,FILLY,PENNY'S PICNIC (IRE),TARAWA (FR),Robyn Brisland,48,,,,,,,,,,,
ANGEL'S VOICE (IRE),2020,GELDING,RIBCHESTER (IRE),EVIES WISH (IRE),Oliver Greenall & Josh Guerriero,64,,,,,,,,,,,
ANGEL'S WHISPER (IRE),2015,FILLY,DARK ANGEL (IRE),TASHEYAAT (GB),,75,,,,,,,,,,,
