Stallion,Offered,Sold,High £,Av. £,Med. £,Colt Av. £,Colt Med. £,Filly Av. £,Filly Med. £,year,age
Prince of Lir,15,15,"42,000","9,968","5,947","7,519","7,500","12,112","5,778",2021,yearling
Decorated Knight,36,31,"219,780","18,049","5,382","13,629","7,239","24,168","3,513",2022,yearling
Sommerabend,17,13,"22,561","7,966","5,211","12,931","13,279","5,760","5,211",2022,yearling
Johnny Barnes,25,15,"22,284","8,023","5,143","11,408","11,003","4,154","3,428",2021,yearling
Mr. Owen,15,15,"14,389","5,583","5,105","5,482","5,105","5,734","4,714",2021,yearling
Birchwood,46,31,"16,929","6,413","5,105","7,582","5,713","5,166","5,079",2021,yearling
Anjaal,15,12,"23,100","8,197","5,011","9,079","6,796","6,434","4,374",2021,yearling
Buratino,23,18,"18,900","5,676","4,863","5,741","4,863","5,155","5,155",2022,yearling
Hunter's Light,12,11,"9,516","5,346","4,598","4,728","4,055","6,087","6,079",2022,yearling
Gustav Klimt,15,11,"41,868","8,359","4,500","9,213","4,886","6,082","4,500",2022,yearling
Elusive Pimpernel,22,12,"47,468","9,866","4,475","7,710","4,884","14,178","3,851",2021,yearling
Free Eagle,31,24,"50,000","8,847","4,372","13,260","8,594","6,640","3,588",2022,yearling
Outstrip,20,15,"21,000","7,553","4,333","7,396","5,100","7,866","4,333",2022,yearling
Dragon Pulse,21,15,"47,000","8,036","4,296","8,794","3,652","5,005","6,874",2022,yearling
Smooth Daddy,15,12,"36,000","8,859","4,290","11,585","5,156","5,043","1,352",2022,yearling
Ultra,23,17,"63,810","8,609","4,285","5,538","4,041","11,339","5,062",2021,yearling
Ivawood,11,11,"12,743","6,136","4,248","5,213","4,248","7,752","7,858",2021,yearling
Estidhkaar,21,16,"10,619","4,825","4,035","4,911","4,035","4,567","4,672",2021,yearling
Penny's Picnic,12,10,"38,286","10,225","3,980","10,189","6,396","10,248","3,551",2021,yearling
Ultra,22,14,"17,355","4,580","3,032","4,938","3,288","4,103","2,593",2022,yearling
Estidhkaar,28,18,"13,650","4,799","3,007","4,396","2,578","5,433","3,437",2022,yearling
Buratino,32,22,"28,350","7,128","3,000","10,392","3,398","3,864","2,568",2021,yearling
Prince of Lir,20,16,"268,176","24,253","2,833","31,713","4,648","1,875","1,718",2022,yearling
Birchwood,20,14,"15,619","5,952","2,822",0,0,"5,952","2,822",2022,yearling
Seabhac,24,19,"22,580","5,751","2,605","7,332","2,821","3,994","2,605",2022,yearling
